ID	Title
1183	Dezertir
1184	The Seventh Sin
1185	Angst essen Seele auf
1186	Dedication
1187	Ad Astra
1188	Stardust Memories
1189	War Comes to America
1190	Fair Haven
1191	Wonder Park
1192	Superman/Doomsday
1193	Uncounted: The New Math of American Elections
1194	Make the Yuletide Gay
1195	Miral
1196	Subject Two
1197	Moving McAllister
1198	Equinox
1199	Trouble with the Curve
1200	The Age of Adaline
1201	Pork Chop Hill
1202	Route Irish
1203	Citizen Ruth
1204	Gunless
1205	Ministry of Fear
1206	Shoot 'Em Up
1207	Wyoming Renegades
1208	Mein liebster Feind - Klaus Kinski
1209	Drive
1210	Two Much
1211	Up in the Wind
1212	Incir Reçeli
1213	Rohtenburg
1214	Hagane no renkinjutsushi: Mirosu no seinaru hoshi
1215	Meteor
1216	Gegen die Wand
1217	Vincent: A Life in Color
1218	Hard Luck
1219	Happy Tears
1220	Ulzana's Raid
1221	Home Sweet Hell
1222	Camel Spiders
1223	Another Me
1224	Hooligans
1225	Chang: A Drama of the Wilderness
1226	Battle Creek Brawl
1227	Hiroshima
1228	Valentine's Day
1229	Foo Fighters: Back and Forth
1230	Main Street
1231	Kôhî jikô
1232	Hans le marin
1233	'71
1234	Reagan
1235	Schule
1236	Goofy Movies Number One
1237	De tijd
1238	Iron Maiden: Flight 666
1239	American Addict
1240	Manos: The Hands of Fate
1241	Little Buddha
1242	Dead of Night
1243	Wolf Creek 2
1244	Snow Falling on Cedars
1245	Way Out West
1246	Election
1247	All the Brothers Were Valiant
1248	The Devil's Own
1249	Vito
1250	Where the Road Meets the Sun
1251	Au coeur de la vie
1252	Hoosiers
1253	Los insólitos peces gato
1254	¡Qué hacer!
